date,tqqq_open,tqqq_close,bil_open,bil_close
2010-05-14,0.2570458191,0.2472921908,73.6845092773,73.6845092773
2010-05-17,0.2496933803,0.2506344318,73.6845092773,73.6845092773
2010-05-18,0.2567483990,0.2410547733,73.6845430015,73.6684722900
2010-05-19,0.2368960415,0.2346926630,73.6684385732,73.6845092773
2010-05-20,0.2204837784,0.2109535336,73.6845092773,73.6845092773
2010-05-21,0.1981058153,0.2125875056,73.6845092773,73.6845092773
2010-05-24,0.2137510169,0.2143451124,73.6845092773,73.6845092773
2010-05-25,0.1984281063,0.2128347009,73.6684385732,73.6845092773
2010-05-26,0.2161274070,0.2062502056,73.6845045789,73.7005691528
2010-05-27,0.2199885158,0.2285786569,73.6845430015,73.6684722900
2010-05-28,0.2300881768,0.2253848463,73.6845092773,73.6845092773
2010-06-01,0.2230084712,0.2191473246,73.6684385732,73.6845092773
2010-06-02,0.2227859879,0.2345690429,73.6684338759,73.7005691528
2010-06-03,0.2363019094,0.2406582832,73.6684722900,73.6684722900
2010-06-04,0.2255587377,0.2168944329,73.6684338759,73.7005691528
2010-06-07,0.2189989931,0.2043195963,73.6845092773,73.6845092773
2010-06-08,0.2057796845,0.2031808794,73.6845045789,73.7005691528
2010-06-09,0.2072900773,0.1986999214,73.7005691528,73.7005691528
2010-06-10,0.2056313388,0.2151863128,73.6845045789,73.7005691528
2010-06-11,0.2085030013,0.2208060175,73.6845045789,73.7005691528
2010-06-14,0.2273658200,0.2209296077,73.7006075838,73.6684722900
2010-06-15,0.2245930071,0.2370690256,73.6845430015,73.6684722900
2010-06-16,0.2368713298,0.2418465167,73.6845430015,73.6684722900
2010-06-17,0.2456335158,0.2442723215,73.6845430015,73.6684722900
2010-06-18,0.2455346587,0.2449405491,73.6684385732,73.6845092773
2010-06-21,0.2538766951,0.2385043502,73.6684722900,73.6684722900
2010-06-22,0.2412524557,0.2328609675,73.6684385732,73.6845092773
2010-06-23,0.2337268701,0.2297421545,73.6684385732,73.6845092773
2010-06-24,0.2269941144,0.2186026275,73.6684385732,73.6845092773
2010-06-25,0.2214495252,0.2184543312,73.6845092773,73.6845092773
2010-06-28,0.2186274092,0.2164981663,73.6684385732,73.6845092773
2010-06-29,0.2063243718,0.1923388690,73.6845092773,73.6845092773
2010-06-30,0.1894672322,0.1828333139,73.6684338759,73.7005691528
2010-07-01,0.1838475410,0.1810510159,73.6845092773,73.6845092773
2010-07-02,0.1815215471,0.1800605506,73.6684385732,73.6845092773
2010-07-06,0.1869425436,0.1810015887,73.6845430015,73.6684722900
2010-07-07,0.1825604917,0.1981058419,73.6845430015,73.6684722900
2010-07-08,0.2028586065,0.2014479786,73.6684385732,73.6845092773
2010-07-09,0.2009280629,0.2070924044,73.6684722900,73.6684722900
2010-07-12,0.2063243624,0.2094440758,73.6845092773,73.6845092773
2010-07-13,0.2143450730,0.2165978849,73.6845092773,73.6845092773
2010-07-14,0.2184543687,0.2200627029,73.6684385732,73.6845092773
2010-07-15,0.2191472903,0.2208307236,73.6684385732,73.6845092773
2010-07-16,0.2188991804,0.2030572593,73.6684385732,73.6845092773
2010-07-19,0.2042207995,0.2076370865,73.6845430015,73.6684722900
2010-07-20,0.1973387424,0.2141968012,73.6845430015,73.6684722900
2010-07-21,0.2222907718,0.2066959888,73.6684722900,73.6684722900
2010-07-22,0.2147661914,0.2206320465,73.6684722900,73.6684722900
2010-07-23,0.2175380011,0.2263752967,73.6845092773,73.6845092773
2010-07-26,0.2273657953,0.2313505113,73.6845248122,73.6523895264
2010-07-27,0.2347668042,0.2313010842,73.6684541047,73.6523895264
2010-07-28,0.2308315057,0.2265730351,73.6524077078,73.6684722900
2010-07-29,0.2297174356,0.2211767137,73.6523895264,73.6523895264
2010-07-30,0.2155579954,0.2226871550,73.6684722900,73.6684722900
2010-08-02,0.2309303656,0.2346679419,73.6523895264,73.6523895264
2010-08-03,0.2342221439,0.2322421372,73.6523895264,73.6523895264
2010-08-04,0.2352867815,0.2389502078,73.6523895264,73.6523895264
2010-08-05,0.2353608690,0.2375395447,73.6523895264,73.6523895264
2010-08-06,0.2289988796,0.2364255488,73.6523895264,73.6523895264
2010-08-09,0.2396678708,0.2405594885,73.6684541047,73.6523895264
2010-08-10,0.2351632007,0.2354597598,73.6684722900,73.6684722900
2010-08-11,0.2229590104,0.2160779536,73.6523739983,73.6845092773
2010-08-12,0.2031314193,0.2099877596,73.6684385732,73.6845092773
2010-08-13,0.2082558742,0.2058043927,73.6684385732,73.6845092773
2010-08-16,0.2027350410,0.2069678456,73.6845430015,73.6684722900
2010-08-17,0.2115970401,0.2148403227,73.6845092773,73.6845092773
2010-08-18,0.2137509914,0.2167709023,73.6684722900,73.6684722900
2010-08-19,0.2137015692,0.2087995559,73.6845430015,73.6684722900
2010-08-20,0.2066959455,0.2080818564,73.6845092773,73.6845092773
2010-08-23,0.2127357995,0.2023395896,73.6684722900,73.6684722900
2010-08-24,0.1957294622,0.1907295585,73.6684722900,73.6684722900
2010-08-25,0.1870166676,0.1964480728,73.6845092773,73.6845092773
2010-08-26,0.1989727428,0.1900365800,73.6845430015,73.6684722900
2010-08-27,0.1933530665,0.1963235438,73.6684722900,73.6684722900
2010-08-30,0.1933036486,0.1899624616,73.6684385732,73.6845092773
2010-08-31,0.1871402543,0.1890213937,73.6845430015,73.6684722900
2010-09-01,0.1962988528,0.2048642784,73.6684722900,73.6684722900
2010-09-02,0.2061265774,0.2118945420,73.6684385732,73.6845092773
2010-09-03,0.2183307666,0.2226871550,73.6684385732,73.6845092773
2010-09-07,0.2196919427,0.2172661275,73.6684722900,73.6684722900
2010-09-08,0.2196919369,0.2249399424,73.6684722900,73.6684722900
2010-09-09,0.2319445831,0.2277859151,73.6684722900,73.6684722900
2010-09-10,0.2294445995,0.2302373499,73.6845430015,73.6684722900
2010-09-13,0.2362525055,0.2403864712,73.6684722900,73.6684722900
2010-09-14,0.2393712908,0.2434311062,73.6684385732,73.6845092773
2010-09-15,0.2415005360,0.2475650609,73.6684385732,73.6845092773
2010-09-16,0.2474158363,0.2510555089,73.6684385732,73.6845092773
2010-09-17,0.2561789976,0.2537284791,73.6684722900,73.6684722900
2010-09-20,0.2565753154,0.2669468224,73.6684722900,73.6684722900
2010-09-21,0.2671702732,0.2661056519,73.6845430015,73.6684722900
2010-09-22,0.2631351193,0.2648432553,73.6845430015,73.6684722900
2010-09-23,0.2594222530,0.2640504837,73.6684722900,73.6684722900
2010-09-24,0.2734818558,0.2790026665,73.6845092773,73.6845092773
2010-09-27,0.2802897037,0.2758088112,73.6684385732,73.6845092773
2010-09-28,0.2784086098,0.2765018046,73.6684722900,73.6684722900
2010-09-29,0.2743240808,0.2742746472,73.6684722900,73.6684722900
2010-09-30,0.2784332906,0.2705608010,73.6684722900,73.6684722900
2010-10-01,0.2768981494,0.2697195709,73.6684722900,73.6684722900
2010-10-04,0.2670210220,0.2603623867,73.6684385732,73.6845092773
2010-10-05,0.2695960598,0.2797451317,73.6684722900,73.6684722900
2010-10-06,0.2785816253,0.2726159394,73.6684722900,73.6684722900
2010-10-07,0.2772451170,0.2752888501,73.6684722900,73.6684722900
2010-10-08,0.2757840482,0.2808343470,73.6684722900,73.6684722900
2010-10-11,0.2816262766,0.2814038396,73.6684722900,73.6684722900
2010-10-12,0.2795473183,0.2872458696,73.6684722900,73.6684722900
2010-10-13,0.2925424083,0.2942258418,73.6684722900,73.6684722900
2010-10-14,0.2945727105,0.2925927043,73.6684385732,73.6845092773
2010-10-15,0.3030631199,0.3112569153,73.6684722900,73.6684722900
2010-10-18,0.3117521578,0.3112569153,73.6684385732,73.6845092773
2010-10-19,0.2989291464,0.2988797128,73.6845430015,73.6684722900
2010-10-20,0.3018007961,0.3050935268,73.6845430015,73.6684722900
2010-10-21,0.3112568826,0.3072217703,73.6684722900,73.6684722900
2010-10-22,0.3075935581,0.3132122755,73.6845092773,73.6845092773
2010-10-25,0.3169754790,0.3179650009,73.6684722900,73.6684722900
2010-10-26,0.3129650555,0.3198708296,73.6684385732,73.6845092773
2010-10-27,0.3157872534,0.3231635392,73.6684385732,73.6845092773
2010-10-28,0.3276444403,0.3250199556,73.6845430015,73.6684722900
2010-10-29,0.3249458594,0.3234601319,73.6684385732,73.6845092773
2010-11-01,0.3267528169,0.3242034316,73.6845092773,73.6845092773
2010-11-02,0.3320008896,0.3340303302,73.6684541047,73.6523895264
2010-11-03,0.3357137368,0.3388572037,73.6684722900,73.6684722900
2010-11-04,0.3506648769,0.3508635461,73.6684722900,73.6684722900
2010-11-05,0.3517048949,0.3512837887,73.6684722900,73.6684722900
2010-11-08,0.3495014651,0.3521753550,73.6684722900,73.6684722900
2010-11-09,0.3571753394,0.3464815915,73.6684722900,73.6684722900
2010-11-10,0.3483132490,0.3517789543,73.6684722900,73.6684722900
2010-11-11,0.3354171305,0.3458627462,73.6684541047,73.6523895264
2010-11-12,0.3401451934,0.3282632828,73.6684385732,73.6845092773
2010-11-15,0.3338819228,0.3247480690,73.6845092773,73.6845092773
