strategy,latency_ns,queue_ahead_fraction,fee_multiplier,net_pnl,max_abs_inventory,fill_rate
avellaneda_stoikov,5000000,0.0,1.0,-232.72582300002978,100.0,0.019704433497536946
queue_aware,5000000,0.0,1.0,-176.97630699999172,78.0,0.010947419827445874
toxicity_aware,5000000,0.0,1.0,-93.07527899999036,92.0,0.012411928559724726
latency_aware,5000000,0.0,1.0,-95.21774349998668,79.0,0.016767051929024907
fixed_spread,5000000,0.0,1.5,-274.2300744500408,98.0,0.012714529607332195
avellaneda_stoikov,5000000,0.0,1.5,-212.1587345001244,100.0,0.019704433497536946
queue_aware,5000000,0.0,1.5,-162.89946049999526,78.0,0.010947419827445874
toxicity_aware,5000000,0.0,1.5,-77.3629185000002,92.0,0.012411928559724726
latency_aware,5000000,0.0,1.5,-74.07161524999356,79.0,0.016767051929024907
fixed_spread,5000000,0.5,1.0,-299.3153458499687,99.5,0.011097245743827436
avellaneda_stoikov,5000000,0.5,1.0,-251.74389335002343,100.0,0.015908983618939717
queue_aware,5000000,0.5,1.0,-145.1275899000202,84.5,0.009238157252156926
toxicity_aware,5000000,0.5,1.0,-186.21332610000036,92.5,0.009913157463542521
latency_aware,5000000,0.5,1.0,-56.63849629999095,67.5,0.014040371154159206
fixed_spread,5000000,0.5,1.5,-286.27801877503225,99.5,0.011097245743827436
avellaneda_stoikov,5000000,0.5,1.5,-235.1108400250596,100.0,0.015908983618939717
queue_aware,5000000,0.5,1.5,-133.44388485001036,84.5,0.009238157252156926
toxicity_aware,5000000,0.5,1.5,-173.71748915000012,92.5,0.009913157463542521
latency_aware,5000000,0.5,1.5,-39.03024444999028,67.5,0.014040371154159206
fixed_spread,5000000,1.0,1.0,-177.54657759999827,99.0,0.004113639285255174
avellaneda_stoikov,5000000,1.0,1.0,-218.42992940002296,100.0,0.004016064257028112
queue_aware,5000000,1.0,1.0,-113.47374659999878,87.0,0.0032150415106625427
toxicity_aware,5000000,1.0,1.0,-137.51957569999104,92.0,0.00315418646567262
latency_aware,5000000,1.0,1.0,6.122963199996775,53.0,0.0035813120625101742
fixed_spread,5000000,1.0,1.5,-172.84486640002433,99.0,0.004113639285255174
avellaneda_stoikov,5000000,1.0,1.5,-214.22489410003618,100.0,0.004016064257028112
queue_aware,5000000,1.0,1.5,-109.20061989999658,87.0,0.0032150415106625427
toxicity_aware,5000000,1.0,1.5,-133.57436355001482,92.0,0.00315418646567262
latency_aware,5000000,1.0,1.5,10.769444799992016,53.0,0.0035813120625101742
