date,tqqq,qqq,bil
2010-08-20,0.2080818862,39.1383094788,73.6845474243
2010-08-23,0.2023396343,38.7549438477,73.6684188843
2010-08-24,0.1907295436,38.0317802429,73.6684188843
2010-08-25,0.1964481026,38.3977355957,73.6845474243
2010-08-26,0.1900365651,37.9359474182,73.6684188843
2010-08-27,0.1963235587,38.3977355957,73.6684188843
2010-08-30,0.1899624914,37.9969329834,73.6845474243
2010-08-31,0.1890214086,37.8662414551,73.6684188843
2010-09-01,0.2048642784,38.9989013672,73.6684188843
2010-09-02,0.2118945271,39.4345588684,73.6845474243
2010-09-03,0.2226871252,40.0880165100,73.6845474243
2010-09-07,0.2172661275,39.8179283142,73.6684188843
2010-09-08,0.2249399573,40.2971343994,73.6684188843
2010-09-09,0.2277859598,40.4539604187,73.6684188843
2010-09-10,0.2302374095,40.6020851135,73.6684188843
2010-09-13,0.2403864413,41.1684226990,73.6684188843
2010-09-14,0.2434310466,41.3426704407,73.6845474243
2010-09-15,0.2475650162,41.6040573120,73.6845474243
2010-09-16,0.2510555089,41.7696266174,73.6845474243
2010-09-17,0.2537284791,41.9110984802,73.6684188843
2010-09-20,0.2669468224,42.6446952820,73.6684188843
2010-09-21,0.2661055624,42.6359481812,73.6684188843
2010-09-22,0.2648432553,42.5224304199,73.6684188843
2010-09-23,0.2640504539,42.5049400330,73.6684188843
2010-09-24,0.2790026963,43.3695564270,73.6845474243
2010-09-27,0.2758088708,43.1337547302,73.6845474243
2010-09-28,0.2765018046,43.1162910461,73.6684188843
2010-09-29,0.2742746472,43.0464248657,73.6684188843
2010-09-30,0.2705608904,42.8543052673,73.6684188843
2010-10-01,0.2697196007,42.8018798828,73.6684188843
2010-10-04,0.2603623271,42.3390235901,73.6845474243
2010-10-05,0.2797451019,43.3695564270,73.6684188843
2010-10-06,0.2726159096,42.9940071106,73.6684188843
2010-10-07,0.2752889693,43.1511993408,73.6684188843
2010-10-08,0.2808344066,43.4481620789,73.6684188843
2010-10-11,0.2814038694,43.4656028748,73.6684188843
2010-10-12,0.2872458398,43.7625617981,73.6684188843
2010-10-13,0.2942257822,44.1206092834,73.6684188843
2010-10-14,0.2925927937,44.0332641602,73.6845474243
2010-10-15,0.3112569153,44.9677505493,73.6684188843
2010-10-18,0.3112569153,44.8018226624,73.6845474243
2010-10-19,0.2988797128,44.3826293945,73.6684188843
2010-10-20,0.3050935566,44.7057342529,73.6684188843
2010-10-21,0.3072217405,44.7930717468,73.6684188843
2010-10-22,0.3132122159,45.0987510681,73.6845474243
2010-10-25,0.3179649711,45.3170890808,73.6684188843
2010-10-26,0.3198707998,45.4393539429,73.6845474243
2010-10-27,0.3231635392,45.5790824890,73.6845474243
2010-10-28,0.3250199258,45.6751213074,73.6684188843
2010-10-29,0.3234601617,45.5703468323,73.6845474243
2010-11-01,0.3242034912,45.6052742004,73.6845474243
2010-11-02,0.3340303004,46.0943412781,73.6523742676
2010-11-03,0.3388572037,46.3039360046,73.6684188843
2010-11-04,0.3508636355,46.8716049194,73.6684188843
2010-11-05,0.3512837887,46.8716049194,73.6684188843
2010-11-08,0.3521752954,46.9327545166,73.6684188843
2010-11-09,0.3464815319,46.6794662476,73.6684188843
2010-11-10,0.3517789543,46.9152832031,73.6684188843
2010-11-11,0.3458627760,46.6183319092,73.6523742676
2010-11-12,0.3282632232,45.8585319519,73.6845474243
2010-11-15,0.3247481287,45.6838836670,73.6845474243
2010-11-16,0.3086334169,44.9328117371,73.6845474243
2010-11-17,0.3115534782,45.0638046265,73.6845474243
2010-11-18,0.3260350823,45.7886886597,73.6684188843
2010-11-19,0.3268022239,45.8236083984,73.6684188843
2010-11-22,0.3354171515,46.2078781128,73.6684188843
2010-11-23,0.3195742071,45.4742774963,73.6684188843
2010-11-24,0.3382383287,46.3912773132,73.6845474243
2010-11-26,0.3361101449,46.0856018066,73.6845474243
2010-11-29,0.3314314783,46.0506858826,73.6845474243
2010-11-30,0.3188318908,45.4917373657,73.6845474243
2010-12-01,0.3391052485,46.4523925781,73.6684188843
2010-12-02,0.3494025767,46.9240188599,73.6684188843
2010-12-03,0.3523236811,47.0462799072,73.6845474243
2010-12-06,0.3517048955,47.0287933350,73.6684188843
2010-12-07,0.3520270586,47.0550117493,73.6684188843
2010-12-08,0.3569034338,47.2296752930,73.6684188843
2010-12-09,0.3572741449,47.2733421326,73.6845474243
2010-12-10,0.3647749424,47.5877418518,73.6845474243
2010-12-13,0.3604927361,47.4218063354,73.6845474243
2010-12-14,0.3620021939,47.5091247559,73.6845474243
2010-12-15,0.3583140671,47.2995491028,73.6684188843
2010-12-16,0.3657901585,47.6663475037,73.6684188843
2010-12-17,0.3669041991,47.7083320618,73.6845474243
2010-12-20,0.3678937554,47.7433395386,73.6845474243
2010-12-21,0.3739582896,48.0321083069,73.6845474243
2010-12-22,0.3743546605,48.0233535767,73.6684188843
2010-12-23,0.3715077639,47.9008560181,73.6684188843
2010-12-27,0.3716569841,47.9271011353,73.6684188843
2010-12-28,0.3700477183,47.8395996094,73.6845474243
2010-12-29,0.3722511232,47.9445991516,73.6684188843
2010-12-30,0.3694536388,47.8308448792,73.6845474243
2010-12-31,0.3660620153,47.6558418274,73.6684188843
2011-01-03,0.3825977743,48.3996353149,73.6845474243
2011-01-04,0.3820038438,48.3646354675,73.6845474243
2011-01-05,0.3914845884,48.7759132385,73.6845474243
2011-01-06,0.3950244486,48.9334220886,73.6845474243
2011-01-07,0.3941080868,48.8896598816,73.6684188843
2011-01-10,0.3985396624,49.0734367371,73.6845474243
2011-01-11,0.4003712833,49.1434326172,73.6845474243
2011-01-12,0.4084909856,49.4934616089,73.6684188843
2011-01-13,0.4097779691,49.5109710693,73.6684188843
2011-01-14,0.4186647236,49.8784980774,73.6684188843
2011-01-18,0.4220059216,50.0185012817,73.6684188843
2011-01-19,0.4078722000,49.4497070312,73.6845474243
2011-01-20,0.3987126350,49.0996894836,73.6845474243
2011-01-21,0.3896033764,48.7234115601,73.6684188843
2011-01-24,0.4056934118,49.3972053528,73.6684188843
2011-01-25,0.4071040750,49.4672050476,73.6845474243
2011-01-26,0.4134166837,49.7297363281,73.6684188843
2011-01-27,0.4213870764,50.0360145569,73.6845474243
2011-01-28,0.3896033764,48.7671585083,73.6684188843
2011-01-31,0.3953714371,49.0034294128,73.6684188843
2011-02-01,0.4173273444,49.9222297668,73.6684188843
2011-02-02,0.4154461622,49.8434715271,73.6684188843
2011-02-03,0.4170554876,49.9309883118,73.6684188843
2011-02-04,0.4245809317,50.2110099792,73.6845474243
2011-02-07,0.4307444096,50.4472770691,73.6684188843
2011-02-08,0.4399285913,50.7798004150,73.6684188843
2011-02-09,0.4372547269,50.6923103333,73.6845474243
2011-02-10,0.4393839240,50.7710494995,73.6684188843
2011-02-11,0.4483942091,51.1385765076,73.6684188843
2011-02-14,0.4512164593,51.2610778809,73.6684188843
2011-02-15,0.4500529170,51.1910781860,73.6845474243
2011-02-16,0.4583702683,51.5235977173,73.6845474243
2011-02-17,0.4579738975,51.5060958862,73.6845474243
2011-02-18,0.4553750455,51.3923454285,73.6684188843
2011-02-22,0.4152731299,49.9047355652,73.6684188843
2011-02-23,0.4050251842,49.4934616089,73.6845474243
2011-02-24,0.4107922316,49.7559776306,73.6845474243
2011-02-25,0.4283927083,50.4472770691,73.6845474243
2011-02-28,0.4315114319,50.5522804260,73.6684188843
2011-03-01,0.4107674658,49.7385025024,73.6684188843
2011-03-02,0.4165602028,50.0009841919,73.6845474243
2011-03-03,0.4414133430,50.9898185730,73.6684188843
2011-03-04,0.4348782897,50.7273101807,73.6845474243
2011-03-07,0.4175506532,50.0447387695,73.6684188843
2011-03-08,0.4219070673,50.2459983826,73.6684188843
2011-03-09,0.4133919477,49.9047355652,73.6684188843
2011-03-10,0.3944797516,49.1259269714,73.6684188843
2011-03-11,0.4010643363,49.4322242737,73.6845474243
2011-03-14,0.3971537054,49.2572135925,73.6845474243
2011-03-15,0.3809144199,48.5571556091,73.7005691528
2011-03-16,0.3529424667,47.3845710754,73.7005691528
